DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3825.6,0.1844,2.2961,40.8447,5.0699,5.3587,8.5569,74.8163337776033
3825.7,0.1867,2.2965,41.0077,5.0345,5.3553,8.5569,75.05120587672305
3825.8,0.1898,2.2958,42.167,5.0114,5.3082,8.5569,76.33931876142479
3825.9,0.1928,2.2938,40.9791,5.0,5.2406,8.5569,75.96903769640438
3826.0,0.1957,2.2902,40.0388,4.9661,5.1863,8.5569,76.74809350671784
3826.1,0.1981,2.286,40.4194,4.9509,5.1589,8.5569,77.34764206820437
3826.2,0.2005,2.2824,39.7596,4.9528,5.1415,8.5569,77.51756980316922
3826.3,0.2033,2.2787,39.4555,5.0822,5.1275,8.5569,78.11087319075111
3826.4,0.2061,2.2731,40.7162,5.2141,5.1231,8.5569,78.36680055692037
3826.5,0.2081,2.2652,40.9305,5.3445,5.1389,8.5569,79.50465257423873
3826.6,0.2085,2.2569,42.9855,5.474,5.1666,8.5569,80.91543387114513
3826.7,0.2082,2.2516,44.3811,5.743,5.1802,8.5569,81.99909565951428
3826.8,0.208,2.25,43.3176,6.0194,5.1638,8.5569,81.89638892243116
3826.9,0.2078,2.2507,43.1292,6.2054,5.1235,8.5569,81.89638892243116
3827.0,0.2066,2.2522,41.7365,6.3743,5.0804,8.5569,81.53283107934668
3827.1,0.2045,2.2538,41.1256,6.6151,5.0547,8.5569,81.48837167178392
3827.2,0.2022,2.2559,41.6953,6.9273,5.0487,8.5569,80.19006698126883
3827.3,0.2003,2.2575,40.533,7.3109,5.053,8.5569,78.79125035901613
3827.4,0.1988,2.2578,40.8074,7.7483,5.0629,8.5568,78.75996701629114
3827.5,0.1992,2.2567,39.8873,8.093,5.0858,8.5243,79.42015017025008
3827.6,0.1948,2.2551,39.7877,9.0433,5.1228,8.5244,79.66922637424477
3827.7,0.1924,2.2549,40.2608,11.2083,5.1554,8.5569,78.93938173740884
3827.8,0.1914,2.2567,40.1157,12.7439,5.174,8.5568,78.27810724190044
3827.9,0.1947,2.2599,40.4842,14.6975,5.2012,8.5243,77.97173878876566
3828.0,0.1947,2.2634,40.2392,16.5501,5.2559,8.5244,77.67442016484102
3828.1,0.1952,2.2659,40.5815,18.694,5.3277,8.5569,78.13190904599247
3828.2,0.1934,2.2683,40.447,21.4787,5.3712,8.5569,77.5803963746674
3828.3,0.1908,2.2708,37.7084,25.4232,5.3616,8.5569,76.97323326901906
3828.4,0.1878,2.2725,38.879,28.3979,5.3159,8.5569,75.42120970772999
3828.5,0.1843,2.2724,39.5206,31.0088,5.2616,8.5569,74.28020772180739
3828.6,0.1806,2.2706,40.6108,34.3429,5.2189,8.5569,74.14050815095585
