DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
4427.5,0.183,2.453,37.454,3.539,5.995,8.781,78.0967099960103
4427.6,0.182,2.449,37.163,3.595,6.163,8.781,77.66537139419209
4427.7,0.179,2.446,36.456,3.553,6.306,8.781,76.40464264137265
4427.8,0.178,2.448,36.839,3.456,6.366,8.75,76.18056812844746
4427.9,0.178,2.458,36.979,3.384,6.32,8.727,76.36250214953584
4428.0,0.173,2.472,37.516,3.293,6.214,8.75,75.72166728917281
4428.1,0.17,2.484,37.973,3.127,6.128,8.769,75.45455953713699
4428.2,0.17,2.488,39.943,2.981,6.104,8.781,75.36075094637673
4428.3,0.171,2.485,40.19,2.882,6.115,8.781,75.45455953713699
4428.4,0.173,2.478,39.143,2.698,6.12,8.781,75.59454552471166
4428.5,0.174,2.471,37.509,2.571,6.105,8.781,76.15785665932643
4428.6,0.176,2.468,37.223,2.522,6.098,8.781,76.15785665932643
4428.7,0.178,2.469,36.959,2.452,6.135,8.781,76.40464264137265
4428.8,0.18,2.477,35.978,2.392,6.205,8.781,76.75043478793135
4428.9,0.182,2.489,36.184,2.3,6.27,8.781,77.19537379987636
4429.0,0.185,2.503,35.968,2.229,6.298,8.769,77.61946677819738
4429.1,0.185,2.513,36.547,2.17,6.29,8.781,77.05274728847623
4429.2,0.184,2.516,36.321,2.138,6.268,8.816,76.638620162891
4429.3,0.188,2.514,36.269,2.158,6.257,8.828,77.57786604975985
4429.4,0.191,2.512,35.755,2.199,6.27,8.828,78.06415341766365
4429.5,0.189,2.512,34.708,2.185,6.307,8.851,77.5184943606784
4429.6,0.191,2.513,34.759,2.219,6.357,8.828,77.93235308928077
4429.7,0.191,2.515,34.42,2.065,6.4,8.797,77.49132059900504
4429.8,0.19,2.517,34.683,1.991,6.409,8.781,77.50502854249171
4429.9,0.191,2.52,35.11,1.996,6.377,8.766,77.63482851076203
4430.0,0.196,2.52,34.679,2.07,6.334,8.75,76.92341272467323
4430.1,0.2,2.519,34.63,2.031,6.33,8.75,77.24471715167101
4430.2,0.204,2.518,34.187,2.026,6.398,8.75,77.80423755657547
4430.3,0.207,2.519,33.983,2.026,6.527,8.75,78.11241457998106
4430.4,0.208,2.524,34.409,2.087,6.667,8.75,77.93794086021822
4430.5,0.207,2.528,34.247,2.024,6.773,8.781,78.17670640783862
4430.6,0.208,2.53,32.833,2.04,6.816,8.781,78.06067916955352
4430.7,0.21,2.53,33.521,2.099,6.798,8.781,78.06067916955352
4430.8,0.213,2.529,33.701,2.086,6.752,8.781,78.89423241356975
4430.9,0.218,2.528,34.474,2.165,6.719,8.766,80.28498147245462
4431.0,0.222,2.527,33.925,2.237,6.726,8.75,80.0279498496169
4431.1,0.227,2.527,32.646,2.234,6.761,8.715,81.22450877518364
4431.2,0.23,2.528,33.442,2.229,6.81,8.703,82.23524968367556
4431.3,0.233,2.531,33.275,2.245,6.888,8.703,83.5452714938885
4431.4,0.237,2.534,32.687,2.248,7.011,8.672,84.36045863709771
4431.5,0.235,2.539,33.198,2.11,7.157,8.682,82.97946214185086
4431.6,0.235,2.544,33.653,1.981,7.276,8.715,81.92408018283287
4431.7,0.235,2.553,34.415,2.067,7.353,8.75,80.93406471727681
4431.8,0.24,2.568,34.086,2.147,7.407,8.781,82.23870091382447
4431.9,0.25,2.588,34.542,2.183,7.46,8.75,84.26024589998181
4432.0,0.255,2.607,31.943,2.25,7.522,8.75,86.12471423129857
4432.1,0.258,2.622,31.318,2.171,7.618,8.75,85.07846027839825
4432.2,0.262,2.634,31.765,2.131,7.753,8.712,85.27925613220741
4432.3,0.267,2.646,31.779,2.099,7.907,8.703,86.53315294668204
4432.4,0.271,2.661,31.42,1.747,8.02,8.75,84.55812163309973
4432.5,0.274,2.676,31.891,1.801,7.999,8.75,84.69160009979718
4432.6,0.271,2.683,31.133,1.927,7.779,8.762,84.55812163309973
4432.7,0.262,2.673,31.501,1.728,7.369,8.756,84.66447685860845
4432.8,0.251,2.647,31.811,1.496,6.9,8.781,82.54403051500844
4432.9,0.244,2.614,32.436,1.812,6.552,8.781,82.83039336889382
