NPHI,RHOB,GR,RT,PEF,CALI,DT,WELL,DEPTH
0.262,2.204,29.24,0.566,5.003,8.547,84.372,15_9-F-11A,2604.5
0.266,2.195,28.342,0.579,5.021,8.547,85.583,15_9-F-11A,2604.6
0.268,2.187,27.322,0.59,5.012,8.547,86.863,15_9-F-11A,2604.7
0.269,2.179,26.961,0.578,4.996,8.547,88.175,15_9-F-11A,2604.8
0.268,2.175,25.813,0.486,4.998,8.547,89.334,15_9-F-11A,2604.9
0.269,2.174,25.664,0.43,5.016,8.547,90.155,15_9-F-11A,2605.0
0.272,2.173,25.722,0.387,5.026,8.547,90.168,15_9-F-11A,2605.1
0.274,2.171,25.608,0.374,5.017,8.578,89.92,15_9-F-11A,2605.2
0.277,2.171,25.434,0.354,4.997,8.578,89.54,15_9-F-11A,2605.3
0.282,2.173,25.519,0.351,4.985,8.547,89.012,15_9-F-11A,2605.4
0.284,2.178,26.275,0.351,4.993,8.547,88.544,15_9-F-11A,2605.5
0.283,2.182,24.981,0.348,5.006,8.547,88.129,15_9-F-11A,2605.6
0.28,2.184,24.824,0.351,5.002,8.547,87.831,15_9-F-11A,2605.7
0.273,2.184,25.483,0.356,4.969,8.547,87.956,15_9-F-11A,2605.8
0.265,2.181,24.725,0.356,4.921,8.547,88.326,15_9-F-11A,2605.9
0.26,2.179,24.805,0.356,4.897,8.547,88.809,15_9-F-11A,2606.0
0.259,2.178,24.755,0.36,4.915,8.547,89.506,15_9-F-11A,2606.1
0.264,2.179,25.234,0.365,4.958,8.547,90.338,15_9-F-11A,2606.2
0.271,2.183,26.622,0.369,5.002,8.547,91.098,15_9-F-11A,2606.3
0.276,2.189,27.994,0.37,5.03,8.547,91.915,15_9-F-11A,2606.4
0.277,2.193,27.798,0.38,5.037,8.547,92.767,15_9-F-11A,2606.5
0.276,2.194,30.169,0.387,5.04,8.547,93.314,15_9-F-11A,2606.6
0.273,2.193,32.99,0.388,5.056,8.547,93.934,15_9-F-11A,2606.7
0.27,2.191,34.367,0.389,5.086,8.547,94.626,15_9-F-11A,2606.8
0.267,2.189,34.147,0.392,5.112,8.547,95.278,15_9-F-11A,2606.9
0.266,2.189,33.57,0.403,5.121,8.547,96.072,15_9-F-11A,2607.0
0.267,2.189,33.16,0.405,5.123,8.547,97.037,15_9-F-11A,2607.1
0.269,2.189,33.631,0.407,5.139,8.547,97.917,15_9-F-11A,2607.2
0.272,2.189,32.754,0.41,5.162,8.547,98.663,15_9-F-11A,2607.3
0.274,2.189,32.668,0.423,5.168,8.547,99.222,15_9-F-11A,2607.4
0.276,2.19,32.109,0.445,5.136,8.547,99.198,15_9-F-11A,2607.5
0.279,2.19,30.053,0.446,5.074,8.547,99.044,15_9-F-11A,2607.6
0.283,2.19,28.497,0.448,5.027,8.547,98.795,15_9-F-11A,2607.7
0.289,2.189,29.497,0.455,5.053,8.547,98.659,15_9-F-11A,2607.8
0.301,2.191,31.087,0.459,5.203,8.547,98.598,15_9-F-11A,2607.9
0.318,2.197,35.991,0.454,5.508,8.578,98.652,15_9-F-11A,2608.0
0.344,2.211,42.866,0.452,5.93,8.547,98.905,15_9-F-11A,2608.1
0.368,2.235,49.618,0.454,6.377,8.563,99.248,15_9-F-11A,2608.2
0.384,2.265,54.604,0.606,6.689,8.578,99.69,15_9-F-11A,2608.3
0.386,2.294,60.595,0.804,6.771,8.562,100.28,15_9-F-11A,2608.4
0.371,2.31,63.962,0.866,6.614,8.547,100.993,15_9-F-11A,2608.5
0.351,2.306,61.152,0.807,6.322,8.562,101.963,15_9-F-11A,2608.6
0.342,2.286,52.352,0.645,6.085,8.547,102.891,15_9-F-11A,2608.7
0.343,2.263,45.544,0.534,6.044,8.547,103.84,15_9-F-11A,2608.8
0.354,2.251,44.964,0.545,6.178,8.547,104.991,15_9-F-11A,2608.9
0.363,2.255,47.718,0.638,6.34,8.547,106.188,15_9-F-11A,2609.0
0.375,2.266,53.557,0.696,6.416,8.562,107.456,15_9-F-11A,2609.1
0.388,2.269,58.377,0.676,6.438,8.547,109.065,15_9-F-11A,2609.2
0.41,2.264,58.583,0.644,6.553,8.547,110.702,15_9-F-11A,2609.3
0.435,2.259,62.77,0.657,6.808,8.578,112.382,15_9-F-11A,2609.4
0.458,2.264,71.04,0.674,7.118,8.602,114.384,15_9-F-11A,2609.5
0.477,2.277,74.674,0.715,7.318,8.625,116.01,15_9-F-11A,2609.6
0.49,2.29,75.451,0.709,7.331,8.625,117.311,15_9-F-11A,2609.7
0.495,2.296,77.477,0.7,7.225,8.578,118.033,15_9-F-11A,2609.8
0.495,2.297,78.429,0.704,7.101,8.578,118.232,15_9-F-11A,2609.9
0.492,2.299,77.676,0.688,7.021,8.578,117.91,15_9-F-11A,2610.0
0.484,2.303,75.239,0.688,6.998,8.578,117.746,15_9-F-11A,2610.1
0.471,2.306,74.651,0.705,7.01,8.563,117.187,15_9-F-11A,2610.2
0.449,2.306,73.736,0.704,7.019,8.578,116.145,15_9-F-11A,2610.3
0.427,2.302,71.072,0.692,6.985,8.578,115.441,15_9-F-11A,2610.4
0.407,2.295,64.63,0.672,6.872,8.578,114.66,15_9-F-11A,2610.5
0.392,2.284,60.306,0.656,6.692,8.547,113.731,15_9-F-11A,2610.6
0.379,2.269,56.641,0.62,6.492,8.547,113.803,15_9-F-11A,2610.7
0.372,2.249,52.42,0.591,6.333,8.578,113.889,15_9-F-11A,2610.8
0.369,2.229,49.687,0.584,6.236,8.547,113.756,15_9-F-11A,2610.9
0.367,2.212,45.754,0.562,6.201,8.578,113.468,15_9-F-11A,2611.0
0.367,2.202,46.434,0.535,6.207,8.547,112.913,15_9-F-11A,2611.1
0.363,2.199,47.978,0.509,6.228,8.547,111.831,15_9-F-11A,2611.2
0.362,2.199,48.64,0.488,6.244,8.578,110.869,15_9-F-11A,2611.3
0.368,2.199,49.873,0.5,6.253,8.578,109.965,15_9-F-11A,2611.4
0.373,2.202,51.422,0.51,6.26,8.578,109.135,15_9-F-11A,2611.5
0.373,2.21,54.444,0.527,6.247,8.578,108.558,15_9-F-11A,2611.6
0.368,2.221,53.76,0.542,6.205,8.578,108.152,15_9-F-11A,2611.7
0.369,2.233,53.106,0.559,6.151,8.563,108.049,15_9-F-11A,2611.8
0.378,2.24,53.96,0.572,6.151,8.578,108.255,15_9-F-11A,2611.9
0.402,2.245,58.392,0.579,6.259,8.563,108.614,15_9-F-11A,2612.0
0.431,2.251,63.602,0.613,6.469,8.578,109.039,15_9-F-11A,2612.1
0.453,2.259,65.994,0.646,6.712,8.578,109.741,15_9-F-11A,2612.2
0.46,2.266,67.711,0.67,6.91,8.578,110.624,15_9-F-11A,2612.3
0.45,2.272,69.143,0.657,7.013,8.578,111.7,15_9-F-11A,2612.4
0.433,2.276,69.974,0.659,7.029,8.578,113.383,15_9-F-11A,2612.5
0.417,2.278,67.368,0.644,6.997,8.578,115.46,15_9-F-11A,2612.6
0.41,2.278,65.561,0.664,6.961,8.578,117.219,15_9-F-11A,2612.7
0.41,2.279,67.43,0.697,6.951,8.578,118.49,15_9-F-11A,2612.8
0.411,2.284,72.941,0.723,6.971,8.578,119.321,15_9-F-11A,2612.9
0.41,2.293,77.084,0.727,7.009,8.648,118.598,15_9-F-11A,2613.0
0.41,2.304,80.62,0.751,7.072,8.672,117.079,15_9-F-11A,2613.1
0.405,2.316,83.013,0.8,7.183,8.625,114.753,15_9-F-11A,2613.2
0.39,2.326,82.219,0.852,7.296,8.625,111.874,15_9-F-11A,2613.3
0.357,2.337,79.7,0.871,7.328,8.648,108.728,15_9-F-11A,2613.4
0.308,2.353,71.057,0.997,7.209,8.625,105.274,15_9-F-11A,2613.5
0.257,2.377,60.059,1.533,6.966,8.672,102.333,15_9-F-11A,2613.6
0.222,2.406,50.296,2.42,6.732,8.648,99.042,15_9-F-11A,2613.7
0.219,2.428,50.038,2.988,6.629,8.672,95.166,15_9-F-11A,2613.8
0.234,2.431,53.308,4.011,6.715,8.602,93.034,15_9-F-11A,2613.9
0.251,2.416,53.56,3.886,7.011,8.625,92.239,15_9-F-11A,2614.0
0.269,2.402,53.418,2.499,7.529,8.625,93.445,15_9-F-11A,2614.1
0.279,2.402,55.581,2.24,8.153,8.672,97.649,15_9-F-11A,2614.2
0.279,2.419,55.123,2.831,8.675,8.727,102.531,15_9-F-11A,2614.3
0.288,2.438,54.192,2.951,8.843,8.703,107.545,15_9-F-11A,2614.4
0.297,2.447,54.842,2.272,8.596,8.828,109.848,15_9-F-11A,2614.5
0.316,2.445,58.324,1.894,8.172,8.703,110.829,15_9-F-11A,2614.6
0.345,2.437,63.245,1.441,7.866,8.703,110.188,15_9-F-11A,2614.7
0.355,2.424,68.619,0.822,7.746,8.649,108.601,15_9-F-11A,2614.8
0.332,2.406,73.169,0.637,7.655,8.875,106.797,15_9-F-11A,2614.9
0.315,2.384,71.393,0.752,7.363,8.765,105.473,15_9-F-11A,2615.0
0.287,2.363,63.77,0.884,6.867,8.703,103.602,15_9-F-11A,2615.1
0.273,2.343,54.273,0.819,6.345,8.601,101.23,15_9-F-11A,2615.2
0.265,2.327,48.191,0.922,6.058,8.547,97.57,15_9-F-11A,2615.3
0.262,2.322,46.374,1.056,6.119,8.578,93.894,15_9-F-11A,2615.4
0.273,2.337,50.397,1.009,6.431,8.648,90.216,15_9-F-11A,2615.5
0.297,2.364,54.23,1.087,6.802,8.625,86.587,15_9-F-11A,2615.6
0.317,2.39,55.328,1.452,7.105,8.625,83.424,15_9-F-11A,2615.7
0.318,2.401,54.808,1.577,7.286,8.625,80.533,15_9-F-11A,2615.8
0.286,2.409,51.61,3.062,7.349,8.672,76.88,15_9-F-11A,2615.9
0.255,2.416,48.407,3.356,7.413,8.578,73.24,15_9-F-11A,2616.0
0.202,2.448,43.329,4.046,7.387,8.578,69.613,15_9-F-11A,2616.1
0.158,2.493,39.502,4.448,7.301,8.578,66.079,15_9-F-11A,2616.2
0.138,2.535,40.732,4.595,7.179,8.578,63.612,15_9-F-11A,2616.3
0.15,2.56,45.895,4.232,7.068,8.578,62.244,15_9-F-11A,2616.4
0.188,2.56,56.418,3.341,6.996,8.578,62.409,15_9-F-11A,2616.5
0.242,2.531,66.51,2.163,6.923,8.578,63.283,15_9-F-11A,2616.6
0.295,2.483,72.817,1.277,6.804,8.578,64.982,15_9-F-11A,2616.7
0.331,2.429,71.173,1.023,6.615,8.547,66.356,15_9-F-11A,2616.8
0.346,2.379,65.841,0.906,6.39,8.547,68.078,15_9-F-11A,2616.9
0.348,2.336,61.576,0.779,6.176,8.547,70.373,15_9-F-11A,2617.0
0.344,2.296,55.87,0.66,6.0,8.562,72.629,15_9-F-11A,2617.1
0.343,2.261,50.066,0.594,5.878,8.547,75.558,15_9-F-11A,2617.2
0.335,2.236,47.983,0.55,5.803,8.547,79.751,15_9-F-11A,2617.3
0.323,2.224,44.291,0.551,5.779,8.547,83.436,15_9-F-11A,2617.4
0.312,2.226,41.597,0.552,5.797,8.547,87.213,15_9-F-11A,2617.5
0.304,2.237,42.608,0.559,5.82,8.547,91.456,15_9-F-11A,2617.6
0.3,2.257,45.231,0.618,5.808,8.547,94.427,15_9-F-11A,2617.7
0.293,2.278,45.908,0.67,5.759,8.547,96.718,15_9-F-11A,2617.8
0.288,2.297,46.724,0.696,5.751,8.547,98.077,15_9-F-11A,2617.9
0.294,2.311,48.215,0.705,5.876,8.547,97.895,15_9-F-11A,2618.0
0.315,2.32,55.312,0.736,6.159,8.547,96.893,15_9-F-11A,2618.1
0.349,2.327,66.182,0.856,6.521,8.547,94.942,15_9-F-11A,2618.2
0.381,2.336,75.193,0.971,6.823,8.547,92.709,15_9-F-11A,2618.3
0.395,2.346,79.692,0.978,7.007,8.578,90.62,15_9-F-11A,2618.4
0.385,2.355,77.524,0.91,7.067,8.578,90.009,15_9-F-11A,2618.5
0.353,2.364,75.809,0.931,7.009,8.578,90.809,15_9-F-11A,2618.6
0.307,2.373,70.8,1.017,6.839,8.578,92.767,15_9-F-11A,2618.7
0.259,2.382,58.014,1.118,6.595,8.578,97.5,15_9-F-11A,2618.8
0.229,2.392,47.596,1.366,6.349,8.625,101.559,15_9-F-11A,2618.9
0.221,2.4,41.677,1.902,6.174,8.625,104.984,15_9-F-11A,2619.0
0.242,2.401,40.76,1.94,6.124,8.672,105.994,15_9-F-11A,2619.1
0.273,2.394,48.855,1.623,6.23,8.625,104.486,15_9-F-11A,2619.2
0.291,2.384,56.212,1.138,6.522,8.578,100.801,15_9-F-11A,2619.3
0.29,2.382,55.11,1.072,6.97,8.578,96.866,15_9-F-11A,2619.4
0.285,2.399,50.181,1.378,7.42,8.578,93.867,15_9-F-11A,2619.5
0.291,2.432,51.172,1.695,7.673,8.578,91.851,15_9-F-11A,2619.6
0.317,2.461,58.972,1.362,7.631,8.578,93.944,15_9-F-11A,2619.7
0.35,2.468,68.027,0.966,7.36,8.578,96.718,15_9-F-11A,2619.8
0.37,2.448,73.652,0.716,7.008,8.578,100.163,15_9-F-11A,2619.9
0.367,2.415,75.449,0.622,6.658,8.562,103.387,15_9-F-11A,2620.0
0.341,2.383,69.968,0.632,6.308,8.547,105.68,15_9-F-11A,2620.1
0.31,2.357,58.348,0.689,5.926,8.547,106.564,15_9-F-11A,2620.2
0.288,2.328,47.029,0.641,5.553,8.547,106.143,15_9-F-11A,2620.3
0.278,2.294,40.319,0.559,5.286,8.547,105.243,15_9-F-11A,2620.4
0.279,2.259,38.072,0.472,5.192,8.547,103.805,15_9-F-11A,2620.5
0.288,2.231,40.434,0.435,5.261,8.547,102.598,15_9-F-11A,2620.6
0.304,2.217,46.777,0.447,5.438,8.547,101.884,15_9-F-11A,2620.7
0.325,2.217,52.163,0.469,5.67,8.547,102.217,15_9-F-11A,2620.8
0.35,2.227,60.08,0.486,5.923,8.578,103.339,15_9-F-11A,2620.9
0.38,2.245,71.91,0.526,6.176,8.578,104.86,15_9-F-11A,2621.0
0.416,2.268,82.056,0.565,6.435,8.578,106.885,15_9-F-11A,2621.1
0.454,2.292,89.604,0.6,6.689,8.578,108.537,15_9-F-11A,2621.2
0.483,2.311,88.595,0.608,6.884,8.578,109.957,15_9-F-11A,2621.3
0.488,2.322,85.172,0.62,6.947,8.578,111.015,15_9-F-11A,2621.4
0.466,2.322,81.593,0.616,6.849,8.578,111.546,15_9-F-11A,2621.5
0.428,2.313,74.395,0.599,6.608,8.578,111.785,15_9-F-11A,2621.6
0.39,2.294,62.138,0.556,6.31,8.578,111.803,15_9-F-11A,2621.7
0.368,2.265,54.434,0.479,6.064,8.578,111.712,15_9-F-11A,2621.8
0.366,2.232,52.844,0.428,5.987,8.578,111.562,15_9-F-11A,2621.9
0.379,2.211,55.43,0.416,6.12,8.578,111.459,15_9-F-11A,2622.0
0.398,2.214,62.671,0.448,6.406,8.578,111.487,15_9-F-11A,2622.1
0.417,2.239,70.683,0.513,6.718,8.578,111.611,15_9-F-11A,2622.2
0.432,2.272,78.678,0.551,6.933,8.578,111.794,15_9-F-11A,2622.3
0.438,2.298,81.801,0.547,7.031,8.578,111.645,15_9-F-11A,2622.4
0.434,2.311,79.606,0.541,7.076,8.578,111.209,15_9-F-11A,2622.5
0.425,2.314,80.11,0.516,7.123,8.578,110.221,15_9-F-11A,2622.6
0.424,2.311,81.418,0.49,7.165,8.578,108.841,15_9-F-11A,2622.7
0.432,2.305,85.261,0.488,7.162,8.578,107.036,15_9-F-11A,2622.8
0.441,2.299,87.627,0.487,7.076,8.578,105.88,15_9-F-11A,2622.9
0.436,2.294,85.95,0.48,6.883,8.578,105.389,15_9-F-11A,2623.0
0.418,2.289,77.93,0.454,6.6,8.578,105.721,15_9-F-11A,2623.1
0.401,2.278,66.816,0.429,6.329,8.578,106.721,15_9-F-11A,2623.2
0.392,2.261,62.803,0.436,6.19,8.547,107.674,15_9-F-11A,2623.3
0.392,2.243,64.239,0.456,6.218,8.547,108.452,15_9-F-11A,2623.4
0.398,2.234,68.86,0.453,6.333,8.578,108.282,15_9-F-11A,2623.5
0.395,2.237,71.789,0.467,6.402,8.578,107.787,15_9-F-11A,2623.6
0.372,2.247,71.482,0.487,6.296,8.578,106.947,15_9-F-11A,2623.7
0.336,2.257,61.47,0.476,5.982,8.578,105.977,15_9-F-11A,2623.8
0.306,2.259,44.982,0.423,5.574,8.547,104.723,15_9-F-11A,2623.9
0.292,2.248,36.572,0.378,5.274,8.547,102.852,15_9-F-11A,2624.0
0.295,2.228,35.212,0.371,5.214,8.547,100.535,15_9-F-11A,2624.1
0.3,2.209,34.509,0.37,5.352,8.578,97.953,15_9-F-11A,2624.2
0.301,2.198,33.868,0.369,5.532,8.578,94.969,15_9-F-11A,2624.3
0.291,2.195,33.293,0.374,5.622,8.578,92.119,15_9-F-11A,2624.4
0.273,2.197,31.031,0.374,5.575,8.578,89.368,15_9-F-11A,2624.5
0.256,2.2,30.375,0.377,5.428,8.547,86.805,15_9-F-11A,2624.6
0.242,2.204,28.675,0.38,5.239,8.547,84.734,15_9-F-11A,2624.7
0.236,2.209,26.741,0.384,5.068,8.547,83.002,15_9-F-11A,2624.8
0.238,2.215,24.465,0.383,4.95,8.547,81.845,15_9-F-11A,2624.9
0.242,2.219,25.075,0.384,4.894,8.547,81.329,15_9-F-11A,2625.0
0.244,2.223,26.103,0.387,4.886,8.547,81.238,15_9-F-11A,2625.1
0.242,2.224,25.629,0.391,4.884,8.547,81.499,15_9-F-11A,2625.2
0.24,2.226,25.885,0.392,4.873,8.547,82.054,15_9-F-11A,2625.3
0.239,2.227,26.548,0.4,4.858,8.547,82.816,15_9-F-11A,2625.4
0.238,2.226,28.074,0.399,4.846,8.547,83.46,15_9-F-11A,2625.5
0.239,2.226,27.993,0.405,4.849,8.547,84.129,15_9-F-11A,2625.6
0.239,2.226,26.69,0.405,4.858,8.547,84.816,15_9-F-11A,2625.7
0.241,2.226,26.879,0.41,4.875,8.547,85.402,15_9-F-11A,2625.8
0.242,2.228,27.966,0.407,4.897,8.547,85.995,15_9-F-11A,2625.9
0.241,2.23,26.355,0.401,4.905,8.547,86.599,15_9-F-11A,2626.0
0.238,2.232,25.49,0.4,4.897,8.547,87.043,15_9-F-11A,2626.1
0.235,2.233,27.241,0.4,4.88,8.547,87.415,15_9-F-11A,2626.2
0.236,2.233,26.25,0.4,4.857,8.547,87.702,15_9-F-11A,2626.3
0.241,2.233,26.968,0.402,4.838,8.547,87.68,15_9-F-11A,2626.4
0.244,2.233,25.838,0.408,4.824,8.547,87.542,15_9-F-11A,2626.5
0.242,2.234,25.818,0.41,4.817,8.547,87.268,15_9-F-11A,2626.6
0.235,2.234,26.189,0.412,4.813,8.547,86.981,15_9-F-11A,2626.7
0.229,2.234,25.23,0.412,4.812,8.547,86.718,15_9-F-11A,2626.8
0.227,2.232,26.919,0.413,4.816,8.547,86.506,15_9-F-11A,2626.9
0.229,2.23,26.506,0.413,4.818,8.547,86.439,15_9-F-11A,2627.0
0.23,2.228,26.506,0.411,4.819,8.547,86.478,15_9-F-11A,2627.1
0.23,2.227,27.371,0.41,4.817,8.547,86.692,15_9-F-11A,2627.2
0.228,2.225,28.389,0.411,4.814,8.547,87.076,15_9-F-11A,2627.3
0.226,2.224,27.506,0.412,4.803,8.547,87.533,15_9-F-11A,2627.4
0.225,2.224,28.079,0.414,4.781,8.547,88.056,15_9-F-11A,2627.5
0.226,2.225,27.197,0.414,4.761,8.547,88.473,15_9-F-11A,2627.6
0.228,2.228,26.929,0.416,4.769,8.547,88.81,15_9-F-11A,2627.7
0.23,2.232,27.722,0.42,4.815,8.547,88.986,15_9-F-11A,2627.8
0.231,2.235,28.591,0.424,4.876,8.547,89.07,15_9-F-11A,2627.9
0.231,2.236,29.104,0.424,4.908,8.547,89.1,15_9-F-11A,2628.0
0.229,2.237,29.02,0.424,4.906,8.547,89.074,15_9-F-11A,2628.1
0.228,2.24,27.696,0.426,4.897,8.547,89.024,15_9-F-11A,2628.2
0.227,2.244,26.701,0.426,4.902,8.547,88.956,15_9-F-11A,2628.3
0.227,2.245,26.037,0.426,4.91,8.547,88.847,15_9-F-11A,2628.4
0.224,2.243,26.24,0.426,4.897,8.547,88.685,15_9-F-11A,2628.5
0.219,2.241,27.62,0.427,4.869,8.547,88.49,15_9-F-11A,2628.6
0.213,2.241,29.09,0.431,4.85,8.547,88.432,15_9-F-11A,2628.7
0.212,2.242,27.815,0.433,4.851,8.547,88.408,15_9-F-11A,2628.8
0.215,2.243,26.032,0.437,4.874,8.547,88.415,15_9-F-11A,2628.9
0.219,2.243,26.722,0.439,4.91,8.547,87.876,15_9-F-11A,2629.0
0.222,2.243,26.808,0.442,4.949,8.547,87.67,15_9-F-11A,2629.1
0.225,2.245,26.949,0.442,4.973,8.547,87.829,15_9-F-11A,2629.2
0.226,2.248,27.48,0.444,4.969,8.547,87.531,15_9-F-11A,2629.3
0.227,2.25,27.378,0.447,4.945,8.547,87.392,15_9-F-11A,2629.4
0.226,2.25,27.18,0.45,4.919,8.547,87.494,15_9-F-11A,2629.5
0.224,2.249,26.005,0.449,4.898,8.547,87.772,15_9-F-11A,2629.6
0.22,2.249,26.595,0.45,4.871,8.547,88.012,15_9-F-11A,2629.7
0.217,2.251,26.98,0.453,4.847,8.547,88.158,15_9-F-11A,2629.8
0.216,2.253,27.022,0.453,4.836,8.547,88.232,15_9-F-11A,2629.9
0.216,2.252,27.523,0.456,4.854,8.547,88.255,15_9-F-11A,2630.0
0.217,2.25,26.726,0.455,4.883,8.547,88.2,15_9-F-11A,2630.1
0.218,2.247,27.602,0.452,4.893,8.547,88.097,15_9-F-11A,2630.2
0.219,2.246,28.79,0.452,4.883,8.547,87.925,15_9-F-11A,2630.3
0.22,2.246,28.179,0.453,4.874,8.547,87.608,15_9-F-11A,2630.4
0.222,2.246,27.422,0.452,4.882,8.547,87.38,15_9-F-11A,2630.5
0.222,2.245,28.489,0.453,4.899,8.547,87.14,15_9-F-11A,2630.6
0.221,2.245,29.039,0.456,4.905,8.547,86.768,15_9-F-11A,2630.7
0.217,2.247,27.79,0.458,4.891,8.547,86.756,15_9-F-11A,2630.8
0.213,2.249,28.152,0.457,4.871,8.547,86.868,15_9-F-11A,2630.9
0.209,2.25,28.038,0.456,4.856,8.547,86.893,15_9-F-11A,2631.0
0.207,2.248,27.723,0.453,4.852,8.547,86.943,15_9-F-11A,2631.1
0.208,2.246,28.792,0.455,4.86,8.547,87.004,15_9-F-11A,2631.2
0.209,2.245,29.843,0.458,4.877,8.547,87.054,15_9-F-11A,2631.3
0.211,2.246,28.5,0.458,4.893,8.547,87.121,15_9-F-11A,2631.4
0.213,2.248,26.326,0.452,4.9,8.547,87.199,15_9-F-11A,2631.5
0.214,2.25,25.558,0.453,4.898,8.547,87.279,15_9-F-11A,2631.6
0.213,2.251,26.611,0.453,4.901,8.547,87.342,15_9-F-11A,2631.7
0.211,2.251,25.161,0.454,4.911,8.547,87.392,15_9-F-11A,2631.8
0.21,2.252,25.279,0.455,4.911,8.547,87.453,15_9-F-11A,2631.9
0.21,2.253,25.584,0.457,4.88,8.547,87.562,15_9-F-11A,2632.0
0.212,2.255,26.126,0.46,4.834,8.547,87.714,15_9-F-11A,2632.1
0.213,2.258,27.853,0.462,4.816,8.547,87.502,15_9-F-11A,2632.2
0.214,2.258,26.594,0.464,4.846,8.547,87.327,15_9-F-11A,2632.3
0.217,2.255,24.722,0.469,4.897,8.547,87.195,15_9-F-11A,2632.4
0.222,2.253,27.064,0.469,4.925,8.547,87.067,15_9-F-11A,2632.5
0.226,2.253,25.615,0.471,4.914,8.547,87.0,15_9-F-11A,2632.6
0.227,2.256,26.028,0.471,4.877,8.547,87.013,15_9-F-11A,2632.7
0.224,2.259,26.793,0.473,4.847,8.547,86.997,15_9-F-11A,2632.8
0.217,2.26,26.735,0.476,4.827,8.547,87.009,15_9-F-11A,2632.9
0.212,2.258,26.196,0.479,4.812,8.547,87.076,15_9-F-11A,2633.0
